sym,entry,exit,qty,cost,pnl,reason,topups
EEM,2012-12-07,2013-01-25,19,378.1206890101325,12.824847204321657,stop,0
VGK,2012-11-28,2013-02-07,30,559.504089915704,47.514722122982676,stop,0
FXI,2012-11-30,2013-02-07,34,566.3145542544886,47.4010858574992,stop,0
CPER,2013-01-11,2013-02-20,36,571.7396222322078,25.31507598565304,stop,0
QQQ,2013-02-01,2013-02-21,10,387.75383929140384,-1.2141080777678326,stop,0
IWM,2013-02-11,2013-02-21,12,584.893636044321,6.288785327472851,stop,0
VGK,2013-02-19,2013-02-21,28,591.3770473736244,-17.491881430823355,stop,0
VNQ,2012-12-27,2013-02-25,24,574.3160222367154,54.641735425977686,stop,0
SPY,2013-02-22,2013-02-26,7,559.7310493776274,-13.670800762039335,stop,0
EEM,2013-03-08,2013-03-15,27,598.1936143125167,-31.30254137172949,stop,0
VGK,2013-03-11,2013-03-27,27,587.6875963794837,-33.86257118245112,stop,0
EWJ,2013-01-18,2013-04-01,22,431.3578481271963,39.39754621010377,stop,0
IWM,2013-03-04,2013-04-03,11,566.1786582600209,-10.077740396799868,stop,1
QQQ,2013-03-04,2013-04-05,14,566.691892847607,-19.548208765774802,stop,1
TLT,2013-04-04,2013-04-10,8,435.93354511415424,-8.164474102437396,stop,0
SPY,2013-04-03,2013-04-15,7,575.5048065960575,-8.363714693733186,stop,0
UNG,2013-03-19,2013-04-25,2,463.1858803271631,2.5640224848104936,stop,0
TLT,2013-04-22,2013-05-06,10,553.6271423181769,-22.80583169369322,stop,0
TIP,2011-08-24,2013-05-14,12,571.3516893903537,88.72936720349537,stop,0
VNQ,2013-03-07,2013-05-22,22,601.3815142281499,53.26699179394507,stop,0
EWJ,2013-04-11,2013-05-23,25,580.399252518687,2.296511174842749,stop,0
VGK,2013-05-06,2013-05-31,27,583.2999501327113,1.6639998672887941,stop,0
IWM,2013-05-22,2013-06-05,7,384.7876966525459,-19.364800980475366,stop,0
QQQ,2013-05-28,2013-06-05,8,354.6025599255294,-22.193024524786154,stop,0
UNG,2013-05-23,2013-06-06,2,488.794995862982,-61.44087506750742,stop,0
SPY,2013-05-31,2013-06-20,6,519.3033549482626,-24.982734330869164,stop,1
VNQ,2013-06-06,2013-06-20,21,563.759777574796,-27.49737538248519,stop,0
VGK,2013-06-11,2013-06-20,26,550.0850687120485,-12.607186871152294,stop,0
USO,2013-06-05,2013-06-21,3,520.9997046557291,-7.081146767921609,stop,0
IWM,2013-06-17,2013-06-21,10,528.1637008412448,-13.287067715338935,stop,0
EWJ,2013-06-11,2013-07-29,25,549.8100830936401,21.81411382474289,stop,0
USO,2013-07-01,2013-07-30,3,549.684440866751,27.893508706021976,stop,0
IWM,2013-07-01,2013-08-19,10,546.9362750735161,-6.675482959507917,stop,0
FXI,2013-08-15,2013-08-21,33,563.6547466816704,-27.649785908688955,stop,0
VGK,2013-07-19,2013-08-28,26,576.0675748248084,-13.075992962126406,stop,0
DBB,2013-08-16,2013-08-29,61,569.3045263275787,-23.994039296686992,stop,0
USO,2013-08-09,2013-09-17,2,390.800464516129,-13.49431352848137,stop,0
UNG,2013-08-27,2013-09-24,2,388.9232985977101,-17.05661276880801,stop,0
VNQ,2013-09-18,2013-09-25,22,564.2613539944136,-22.956760867934804,stop,0
FXI,2013-09-03,2013-09-30,32,550.9893012896943,-15.964248001257033,stop,0
EWJ,2013-08-28,2013-10-03,24,543.4108205590622,-0.3006507108362939,stop,0
VGK,2013-09-12,2013-10-08,25,561.0105028392464,-10.923827354128093,stop,0
IWM,2013-09-30,2013-10-08,6,336.90062710450707,-10.901818061811753,stop,0
QQQ,2013-06-20,2013-10-09,12,494.7022938663658,22.508531174768734,stop,0
FXI,2013-10-11,2013-10-23,20,356.36740768592057,-22.63617290148278,stop,0
EWJ,2013-10-14,2013-11-01,23,546.6482569592313,-15.839612229990166,stop,1
VGK,2013-10-18,2013-11-01,23,538.9297645926135,-7.2911111038908984,stop,1
EEM,2013-10-01,2013-11-05,27,531.5220685805086,-0.9621597289792589,stop,1
IWM,2013-10-23,2013-11-07,9,526.5190047293793,-21.483380589402486,stop,1
VNQ,2013-10-25,2013-11-07,20,530.3969812721339,-25.654433770899118,stop,0
VGK,2013-11-11,2013-12-04,15,351.29619263544674,-17.98331210197506,stop,0
EWJ,2013-11-13,2013-12-04,15,353.8021316610516,-16.279738363018566,stop,0
FXI,2013-11-15,2013-12-11,29,516.8046670242607,-17.740797399164023,stop,1
IWM,2013-11-21,2013-12-11,9,527.4759167138388,-19.530817605826144,stop,1
UNG,2013-12-09,2013-12-31,2,405.82332568430405,-3.6910680775743003,stop,0
USO,2013-12-13,2014-01-02,3,512.7458159509202,-9.382302256703042,stop,0
VGK,2013-12-19,2014-01-02,22,506.2720575209075,1.0524705057393362,stop,0
SPY,2013-10-10,2014-01-24,6,514.9952466541831,13.189293161713067,stop,0
EWJ,2013-12-30,2014-01-24,20,468.56252878578516,-20.265839320960424,stop,0
VGK,2014-01-13,2014-01-24,21,501.40757480148255,-17.473202862931373,stop,1
QQQ,2013-11-05,2014-01-27,11,515.2747261650644,-0.4182342658066318,stop,0
IWM,2013-12-23,2014-01-27,8,479.27816312618256,-18.606227811528868,stop,0
UNG,2014-01-16,2014-01-27,2,418.85342154986324,22.926433619598185,stop,0
USO,2014-02-06,2014-03-05,2,344.72981024455765,0.570890197834899,stop,0
VGK,2014-02-06,2014-03-13,22,510.84309373817763,0.15461745741441746,stop,0
VNQ,2014-02-14,2014-03-19,20,507.8334657024621,2.066390699732608,stop,0
DBA,2014-02-19,2014-03-20,37,509.7631687418592,29.84061639873346,stop,0
UNG,2014-02-06,2014-03-21,2,487.9182346877666,-25.507884181432416,stop,0
QQQ,2014-02-10,2014-03-24,10,486.2497008935851,-6.182049324246918,stop,0
IWM,2014-03-13,2014-03-26,8,480.8338827265947,-11.056134566742344,stop,0
SPY,2014-03-19,2014-04-07,5,459.8322626479434,-10.650702645052888,stop,0
VGK,2014-04-01,2014-04-15,21,507.27745489204455,-22.988272746465498,stop,0
FXI,2014-04-09,2014-04-15,31,504.9301675395476,-21.896204091199593,stop,0
USO,2014-03-26,2014-04-30,2,350.82891527028534,-9.91840253867008,stop,0
DBA,2014-03-31,2014-05-09,34,499.5342339963269,-7.405435807694232,stop,0
UNG,2014-03-31,2014-05-09,2,471.63614975572864,1.6453392214602331,stop,0
DJP,2014-04-08,2014-05-15,21,506.00811766516904,-10.561802149981474,stop,1
TLT,2014-05-16,2014-06-03,10,480.8817740709254,-8.31886766990101,stop,0
VNQ,2014-04-01,2014-06-11,19,500.0036290819655,12.344832142621499,stop,0
UNG,2014-06-13,2014-06-23,2,497.6954722808341,-34.39317128361779,stop,0
VGK,2014-04-30,2014-06-26,21,509.03776961895534,-11.572448975495377,stop,0
DJP,2014-06-19,2014-07-01,9,213.88232515148403,-9.65912398530324,stop,0
USO,2014-05-21,2014-07-03,2,362.1238295014452,-7.44637641224034,stop,0
IWM,2014-05-12,2014-07-10,5,286.4236720417358,-4.290495917245096,stop,0
EWJ,2014-06-05,2014-07-10,22,492.57718180656167,-9.239513556132579,stop,0
SLV,2014-07-03,2014-07-15,19,227.16702225020256,-8.353237921722467,stop,0
CPER,2014-07-08,2014-07-16,25,324.5662922069772,-8.19939373464797,stop,0
SPY,2014-04-30,2014-07-31,5,456.6864908272513,8.94150958139062,stop,0
DBB,2014-06-25,2014-08-01,57,472.25712119599683,18.694173972907322,stop,1
VNQ,2014-06-30,2014-08-04,17,463.2019402775666,0.3862398747791076,stop,0
EWJ,2014-07-23,2014-08-05,17,389.54100880666977,-9.835304639287529,stop,0
FXI,2014-05-22,2014-08-07,31,496.15401895526713,53.85733908446002,stop,0
GLD,2014-07-17,2014-08-21,6,448.4723009224742,-7.002907259062454,stop,0
TLT,2014-07-15,2014-09-04,10,471.3159933007314,35.32256942514499,stop,0
DBB,2014-08-11,2014-09-09,57,496.67726524035186,13.700523885642383,stop,0
EEM,2014-08-04,2014-09-10,23,468.3894128844596,11.876923129260092,stop,0
VNQ,2014-08-14,2014-09-11,17,484.1285321315346,5.237834301343526,stop,0
