d,absmom,trend,bench_6040,stocks
1961-11-30,2776.3714,1319.1989,1049.5373,1834.0452
1961-12-31,2777.3594,1319.6684,1047.4351,1834.6979
1962-01-31,2675.9897,1271.5023,1024.6026,1767.734
1962-02-28,2729.1593,1296.766,1039.4385,1802.8574
1962-03-31,2716.0002,1290.5134,1041.6341,1794.1646
1962-04-30,2542.4641,1208.0574,1006.7883,1679.5283
1962-05-31,2558.988,1217.5945,958.3797,1537.644
1962-06-30,2558.8931,1220.154,914.4645,1409.8261
1962-07-31,2546.4623,1222.7189,943.7998,1501.3251
1962-08-31,2561.1809,1225.5342,958.4986,1536.9166
1962-09-30,2569.6755,1227.8648,933.3001,1459.3895
1962-10-31,2588.6663,1230.692,937.3615,1461.9176
1962-11-30,2599.2543,1233.1558,994.8113,1624.0057
1962-12-31,2620.4943,1250.2211,1005.1947,1643.84
1963-01-31,2635.3594,1314.6729,1038.76,1728.5837
1963-02-28,2624.4371,1285.9692,1023.21,1690.843
1963-03-31,2630.8721,1328.2419,1044.6348,1746.4247
1963-04-30,2630.9307,1390.9971,1074.9887,1828.9377
1963-05-31,2669.8254,1418.2138,1090.7917,1864.7234
1963-06-30,2621.6348,1392.6149,1077.7657,1831.0649
1963-07-31,2616.829,1390.0621,1076.8917,1827.7083
1963-08-31,2755.2603,1463.5969,1114.4622,1924.3948
1963-09-30,2717.0851,1443.3182,1103.3802,1897.7316
1963-10-31,2791.6959,1482.9515,1122.9407,1949.8431
1963-11-30,2778.0253,1475.6897,1120.4917,1940.2949
1963-12-31,2834.9534,1505.93,1136.1829,1980.056
1964-01-31,2904.4516,1542.8475,1153.1339,2028.5966
1964-02-29,2955.6218,1570.0291,1167.7319,2064.3361
1964-03-31,3003.7423,1595.5908,1178.2835,2097.9456
1964-04-30,3013.9071,1600.9904,1181.964,2105.0452
1964-05-31,3063.4454,1627.3051,1196.5739,2139.6449
1964-06-30,3109.1596,1651.5886,1210.2725,2171.5737
1964-07-31,3169.784,1683.7923,1225.6837,2213.9164
1964-08-31,3130.7712,1663.0687,1217.9481,2186.6682
1964-09-30,3221.694,1711.367,1241.0167,2250.1726
1964-10-31,3247.9338,1725.3056,1249.327,2268.4997
1964-11-30,3259.3265,1731.3574,1255.2177,2276.4568
1964-12-31,3268.2467,1736.0958,1257.8515,2282.6871
1965-01-31,3390.1629,1800.8578,1287.2005,2367.8387
1965-02-28,3418.5189,1815.9205,1294.7071,2387.6438
1965-03-31,3388.701,1800.0812,1289.5782,2366.8177
1965-04-30,3501.091,1859.7829,1317.7558,2445.3158
1965-05-31,3488.3515,1853.0156,1316.1785,2436.4179
1965-06-30,3312.4319,1759.567,1277.274,2313.5479
1965-07-31,3367.3778,1767.1247,1292.1875,2351.9246
1965-08-31,3466.6133,1811.2131,1314.8785,2421.235
1965-09-30,3573.4895,1867.0531,1339.7732,2495.8821
1965-10-31,3673.8818,1919.5054,1362.3703,2566.0005
1965-11-30,3688.0182,1926.8913,1363.4243,2575.874
1965-12-31,3741.685,1954.9307,1370.89,2613.3572
1966-01-31,3784.3306,1977.2119,1382.6166,2643.1427
1966-02-28,3752.4851,1960.5735,1368.2768,2620.9004
1966-03-31,3676.3441,1920.7918,1352.0193,2567.7202
1966-04-30,3769.1609,1969.2862,1379.7512,2632.5476
1966-05-31,3571.2822,1865.8998,1337.106,2494.3404
1966-06-30,3568.9992,1869.6291,1330.2222,2469.6156
1966-07-31,3479.6646,1877.1219,1313.9669,2439.4708
1966-08-31,3382.0922,1885.7757,1250.4543,2257.1364
1966-09-30,3407.1931,1893.7118,1250.0306,2243.079
1966-10-31,3466.7362,1901.6813,1289.8324,2339.2878
1966-11-30,3441.2395,1909.3025,1299.0909,2381.5945
1966-12-31,3541.9595,1917.3376,1319.3954,2395.049
1967-01-31,3628.9878,1925.4066,1400.2885,2600.8135
1967-02-28,3628.5396,1946.2996,1410.3342,2631.4081
1967-03-31,3668.3842,2032.9876,1455.0093,2748.6109
1967-04-30,3859.7362,2120.3963,1493.9806,2866.788
1967-05-31,3708.715,2037.4309,1447.9152,2754.6182
1967-06-30,3805.8492,2090.7928,1466.8649,2826.7639
1967-07-31,3995.3025,2194.8715,1509.8726,2967.4788
1967-08-31,3969.2462,2180.5571,1500.8982,2948.1257
1967-09-30,4108.7104,2257.1736,1536.6489,3051.7116
1967-10-31,3998.8407,2196.8152,1504.8111,2970.1067
1967-11-30,4030.4653,2214.1886,1504.4011,2993.5957
1967-12-31,4169.6686,2290.6618,1542.9726,3096.9878
1968-01-31,4018.3584,2207.5376,1519.6392,2984.6034
1968-02-29,3883.381,2133.3859,1491.1121,2884.3499
1968-03-31,3907.5017,2127.6068,1490.9236,2902.2654
1968-04-30,4275.9916,2136.1335,1580.4719,3175.9584
1968-05-31,4392.1916,2181.936,1598.477,3262.2649
1968-06-30,4437.7393,2204.563,1618.6354,3296.0951
1968-07-31,4340.572,2156.2926,1610.5825,3223.9249
1968-08-31,4414.745,2193.14,1633.9512,3279.0163
1968-09-30,4609.9444,2290.1104,1678.3004,3423.9991
1968-10-31,4645.5178,2307.7824,1683.2669,3450.4209
1968-11-30,4913.7812,2441.0493,1740.0559,3649.6714
1968-12-31,4738.3204,2353.8845,1688.3519,3519.3494
